Transecta	Año	Punto	x	y	Sustrato	Hojarasca	Arbt	Arbo	sp	Estado	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	tq_s	tq_a
1	1938	1	0	0	H	6	0	16.7	Lathirus	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	1938	1	0	0	H	6	0	16.7	Vicia	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	1938	2	2	0	H	10	0	19.33	Osmorhyza	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	1938	3	4	0	H	9	0	15.8	Lathirus	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	1938	4	6	0	H	15	0	19.7	Coihue	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	1938	4	6	0	H	15	0	19.7	Osmorhyza	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	1938	5	8	0	T	1	0	19.65	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1938	6	10	0	M	4	0	21.6	Osmorhyza	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	1938	6	10	0	M	4	0	21.6	Vicia	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	1938	7	12	0	T	0	0	9.5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1938	8	14	0	H	6	0	18.24	Vicia	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	1938	9	16	0	H	10	0	18.45	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1938	10	18	0	T	0	0	19.57	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1938	11	20	0	H	6	0	21.77	Coihue	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
